user_id,image_name,image_source,correct_emotion,selected_emotion,response_time_s,timestamp
b77b35d7-98ed-4d65-bd7f-5600406b2d13,woman_surprised.png,Human,surprised,disgusted,4.0170,2025-10-08T19:02:10.348995
b77b35d7-98ed-4d65-bd7f-5600406b2d13,man_angry.png,Human,angry,happy,2.5259,2025-10-08T19:02:14.334210
b77b35d7-98ed-4d65-bd7f-5600406b2d13,woman2_happy.png,AI,happy,angry,1.1268,2025-10-08T19:02:16.489351
b77b35d7-98ed-4d65-bd7f-5600406b2d13,woman_disgusted.png,Human,disgusted,disgusted,0.8650,2025-10-08T19:02:18.073450
b77b35d7-98ed-4d65-bd7f-5600406b2d13,oldman_angry.png,AI,angry,disgusted,1.5342,2025-10-08T19:02:20.375208
b77b35d7-98ed-4d65-bd7f-5600406b2d13,kid_surprised.png,AI,surprised,surprised,0.8176,2025-10-08T19:02:22.014076
9b307667-0e5a-47a7-b590-e86eb19b8877,woman2_happy.png,AI,happy,disgusted,7730.2715,2025-10-15T12:52:36.645373
9b307667-0e5a-47a7-b590-e86eb19b8877,oldman_angry.png,AI,angry,happy,1.2217,2025-10-15T12:52:39.146115
9b307667-0e5a-47a7-b590-e86eb19b8877,woman_disgusted.png,Human,disgusted,surprised,8.0417,2025-10-15T12:52:48.261584
8cef88bf-4fa4-4937-8ff1-a4de8690caab,man_angry.png,Human,angry,angry,10.0966,2025-10-16T10:09:00.573603
8cef88bf-4fa4-4937-8ff1-a4de8690caab,kid_surprised.png,AI,surprised,happy,4.3949,2025-10-16T10:09:06.290271
5beeb812-65bb-4d73-9e74-b5745e50d53c,oldman_angry.png,AI,angry,happy,30.9841,2025-10-16T10:27:33.040255
5beeb812-65bb-4d73-9e74-b5745e50d53c,woman_surprised.png,Human,surprised,happy,2.9925,2025-10-16T10:27:36.935171
5beeb812-65bb-4d73-9e74-b5745e50d53c,kid_surprised.png,AI,surprised,disgusted,1.0123,2025-10-16T10:27:42.854288
5beeb812-65bb-4d73-9e74-b5745e50d53c,woman_disgusted.png,Human,disgusted,disgusted,0.4319,2025-10-16T10:27:45.272861
5beeb812-65bb-4d73-9e74-b5745e50d53c,man_angry.png,Human,angry,disgusted,0.5874,2025-10-16T10:27:48.702015
5beeb812-65bb-4d73-9e74-b5745e50d53c,woman2_happy.png,AI,happy,disgusted,0.6159,2025-10-16T10:27:53.459924
cb09bc25-3d8c-400b-857b-8d208cd03a7a,oldman_angry.png,AI,angry,disgusted,4.7478,2025-10-23T11:03:26.899999
cb09bc25-3d8c-400b-857b-8d208cd03a7a,kid_surprised.png,AI,surprised,happy,0.9752,2025-10-23T11:03:28.795161
cb09bc25-3d8c-400b-857b-8d208cd03a7a,woman_surprised.png,Human,surprised,happy,23.7807,2025-10-23T11:03:53.726751
cb09bc25-3d8c-400b-857b-8d208cd03a7a,woman_disgusted.png,Human,disgusted,happy,0.8153,2025-10-23T11:03:55.614613
